query_id,domain,keyword_f1,taxonomy_f1,f1_difference,keyword_ndcg_at_5,taxonomy_ndcg_at_5,ndcg_difference
TQ001,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ002,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ003,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ004,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.6992148198508501,1.0,0.3007851801491499
TQ005,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ006,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ007,Travel,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.8539316501572937,1.0,0.14606834984270634
TQ008,Travel,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.8687949224876582,1.0,0.13120507751234178
TQ009,Travel,0.4615384615384615,0.7692307692307693,0.30769230769230776,0.7227265726449519,1.0,0.2772734273550481
TQ010,Travel,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.8687949224876582,1.0,0.13120507751234178
TQ011,Travel,0.5,0.8333333333333333,0.33333333333333326,0.7227265726449519,1.0,0.2772734273550481
TQ012,Travel,0.6666666666666666,0.8333333333333333,0.16666666666666663,0.830419897363192,1.0,0.169580102636808
TQ013,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6843515475204855,1.0,0.31564845247951445
TQ014,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ015,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5087403079104241,1.0,0.4912596920895759
TQ016,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ017,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ018,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ019,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ020,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ021,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ022,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6843515475204855,1.0,0.31564845247951445
TQ023,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ024,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ025,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ026,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ027,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ028,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ029,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ030,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ031,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.3156484524795145,1.0,0.6843515475204855
TQ032,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ033,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ034,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ035,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6843515475204855,1.0,0.31564845247951445
TQ036,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ037,Travel,0.6666666666666666,0.8333333333333333,0.16666666666666663,0.830419897363192,1.0,0.169580102636808
TQ038,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ039,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6843515475204855,1.0,0.31564845247951445
TQ040,Travel,0.5,0.8333333333333333,0.33333333333333326,0.7227265726449519,1.0,0.2772734273550481
TQ041,Travel,0.5,0.8333333333333333,0.33333333333333326,0.7227265726449519,1.0,0.2772734273550481
TQ042,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ043,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ044,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ045,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ046,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ047,Travel,0.5,0.8333333333333333,0.33333333333333326,0.6992148198508501,1.0,0.3007851801491499
TQ048,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ049,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ050,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ051,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5087403079104241,1.0,0.4912596920895759
TQ052,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ053,Travel,0.16666666666666666,0.8333333333333333,0.6666666666666666,0.3391602052736161,1.0,0.6608397947263839
TQ054,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ055,Travel,0.3333333333333333,0.3333333333333333,0.0,0.48522855511632257,0.5531464700081437,0.06791791489182109
TQ056,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ057,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.48522855511632257,1.0,0.5147714448836774
TQ058,Travel,0.3333333333333333,0.3333333333333333,0.0,0.5531464700081437,0.5531464700081437,0.0
TQ059,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ060,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ061,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
TQ062,Travel,0.3333333333333333,0.8333333333333333,0.49999999999999994,0.5531464700081437,1.0,0.44685352999185635
